episode_number,season,episode_in_season,title,directed_by,written_by,air_date,us_viewers_in_millions
34,2,10,"""The One with Russ""",Thomas Schlamme,Ira Ungerleider,"January 4, 1996",32.2
35,2,11,"""The One with the Lesbian Wedding""",Thomas Schlamme,Doty Abrams,"January 18, 1996",31.6
36,2,12,"""The One After the Superbowl” (part 1)",Michael Lembeck,Jeffrey Astrof & Mike SikowitzMichael Borkow,"January 28, 1996",52.9
37,2,13,"""The One After the Superbowl” (part 2)",Michael Lembeck,Jeffrey Astrof & Mike SikowitzMichael Borkow,"January 28, 1996",52.9
38,2,14,"""The One with the Prom Video""",James Burrows,Alexa Junge,"February 1, 1996",33.6
39,2,15,"""The One Where Ross and Rachel...You Know""",Michael Lembeck,Michael Curtis & Gregory S. Malins,"February 8, 1996",32.9
40,2,16,"""The One Where Joey Moves Out""",Michael Lembeck,Betsy Borns,"February 15, 1996",31.1
41,2,17,"""The One Where Eddie Moves In""",Michael Lembeck,Adam Chase,"February 22, 1996",30.2
42,2,18,"""The One Where Dr. Ramoray Dies""",Michael Lembeck,Story by : Alexa JungeTeleplay by : Michael Borkow,"March 21, 1996",30.1
43,2,19,"""The One Where Eddie Won't Go""",Michael Lembeck,Michael Curtis & Gregory S. Malins,"March 28, 1996",31.2
44,2,20,"""The One Where Old Yeller Dies""",Michael Lembeck,Story by : Michael Curtis & Gregory S. MalinsTeleplay by : Adam Chase,"April 4, 1996",27.4
45,2,21,"""The One with the Bullies""",Michael Lembeck,Brian Buckner & Sebastian Jones,"April 25, 1996",24.7
46,2,22,"""The One with the Two Parties""",Michael Lembeck,Alexa Junge,"May 2, 1996",25.5
47,2,23,"""The One with the Chicken Pox""",Michael Lembeck,Brown Mandell,"May 9, 1996",26.1
48,2,24,"""The One with Barry and Mindy's Wedding""",Michael Lembeck,Story by : Ira UngerleiderTeleplay by : Brown Mandell,"May 16, 1996",29.0
49,3,1,"""The One with the Princess Leia Fantasy""",Gail Mancuso,Michael Curtis & Gregory S. Malins,"September 19, 1996",26.8
50,3,2,"""The One Where No One's Ready""",Gail Mancuso,Ira Ungerleider,"September 26, 1996",26.7
51,3,3,"""The One with the Jam""",Kevin S. Bright,Wil Calhoun,"October 3, 1996",25.2
52,3,4,"""The One with the Metaphorical Tunnel""",Steve Zuckerman,Alexa Junge,"October 10, 1996",26.1
53,3,5,"""The One with Frank Jr.""",Steve Zuckerman,Shana Goldberg-Meehan & Scott Silveri,"October 17, 1996",23.3
54,3,6,"""The One with the Flashback""",Peter Bonerz,David Crane & Marta Kauffman,"October 31, 1996",23.3
55,3,7,"""The One with the Race Car Bed""",Gail Mancuso,Seth Kurland,"November 7, 1996",27.4
56,3,8,"""The One with the Giant Poking Device""",Gail Mancuso,Adam Chase,"November 14, 1996",28.7
57,3,9,"""The One with the Football""",Kevin S. Bright,Ira Ungerleider,"November 21, 1996",29.3
58,3,10,"""The One Where Rachel Quits""",Terry Hughes,Gregory S. Malins & Michael Curtis,"December 12, 1996",25.1
59,3,11,"""The One Where Chandler Can't Remember Which Sister""",Terry Hughes,Alexa Junge,"January 9, 1997",29.8
60,3,12,"""The One with All the Jealousy""",Robby Benson,Doty Abrams,"January 16, 1997",29.6
61,3,13,"""The One Where Monica and Richard Are Just Friends""",Robby Benson,Michael Borkow,"January 30, 1997",28.0
62,3,14,"""The One with Phoebe's Ex-Partner""",Robby Benson,Wil Calhoun,"February 6, 1997",28.9
63,3,15,"""The One Where Ross and Rachel Take a Break""",James Burrows,Michael Borkow,"February 13, 1997",27.3
64,3,16,"""The One with the Morning After""",James Burrows,David Crane & Marta Kauffman,"February 20, 1997",28.3
65,3,17,"""The One Without the Ski Trip""",Sam Simon,Shana Goldberg-Meehan & Scott Silveri,"March 6, 1997",25.8
66,3,18,"""The One with the Hypnosis Tape""",Robby Benson,Seth Kurland,"March 13, 1997",28.1
67,3,19,"""The One with the Tiny T-Shirt""",Terry Hughes,Adam Chase,"March 27, 1997",23.7
68,3,20,"""The One with the Dollhouse""",Terry Hughes,Wil Calhoun,"April 10, 1997",24.4
69,3,21,"""The One with a Chick and a Duck""",Michael Lembeck,Chris Brown,"April 17, 1997",23.2
70,3,22,"""The One with the Screamer""",Peter Bonerz,Shana Goldberg-Meehan & Scott Silveri,"April 24, 1997",22.6
71,3,23,"""The One with Ross's Thing""",Shelley Jensen,Ted Cohen & Andrew Reich,"May 1, 1997",24.2
72,3,24,"""The One with the Ultimate Fighting Champion""",Robby Benson,Story by : Pang-Ni Landrum & Mark KunerthTeleplay by : Shana Goldberg-Meehan & Scott Silveri,"May 8, 1997",23.1
73,3,25,"""The One at the Beach""",Pamela Fryman,Story by : Pang-Ni Landrum & Mark KunerthTeleplay by : Adam Chase,"May 15, 1997",28.8
74,4,1,"""The One with the Jellyfish""",Shelley Jensen,Wil Calhoun,"September 25, 1997",29.4
75,4,2,"""The One with the Cat""",Shelley Jensen,Jill Condon & Amy Toomin,"October 2, 1997",25.5
76,4,3,"""The One with the Cuffs""",Peter Bonerz,Seth Kurland,"October 9, 1997",24.0
77,4,4,"""The One with the Ballroom Dancing""",Gail Mancuso,Ted Cohen & Andrew Reich,"October 16, 1997",24.3
78,4,5,"""The One with Joey's New Girlfriend""",Gail Mancuso,Gregory S. Malins & Michael Curtis,"October 30, 1997",24.4
79,4,6,"""The One with the Dirty Girl""",Shelley Jensen,Shana Goldberg-Meehan & Scott Silveri,"November 6, 1997",25.7
80,4,7,"""The One Where Chandler Crosses the Line""",Kevin S. Bright,Adam Chase,"November 13, 1997",26.4
81,4,8,"""The One with Chandler in a Box""",Peter Bonerz,Michael Borkow,"November 20, 1997",26.8
82,4,9,"""The One Where They're Going to Party!""",Peter Bonerz,Ted Cohen & Andrew Reich,"December 11, 1997",23.9
83,4,10,"""The One with the Girl from Poughkeepsie""",Gary Halvorson,Scott Silveri,"December 18, 1997",23.2
84,4,11,"""The One with Phoebe's Uterus""",David Steinberg,Seth Kurland,"January 8, 1998",23.7
85,4,12,"""The One with the Embryos""",Kevin S. Bright,Jill Condon & Amy Toomin,"January 15, 1998",27.1
86,4,13,"""The One with Rachel's Crush""",Dana DeVally Piazza,Shana Goldberg-Meehan,"January 29, 1998",25.3
87,4,14,"""The One with Joey's Dirty Day""",Peter Bonerz,Wil Calhoun,"February 5, 1998",25.1
88,4,15,"""The One with All the Rugby""",James Burrows,Story by : Ted Cohen & Andrew ReichTeleplay by : Wil Calhoun,"February 26, 1998",24.4
